Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
苹果,1,AvatarExp,SkillBook,None,None,None,
日落果,1,AvatarExp,SkillBook,None,None,None,
蘑菇,1,AvatarExp,SkillBook,None,None,None,
甜甜花,1,AvatarExp,SkillBook,None,None,None,
胡萝卜,1,AvatarExp,SkillBook,None,None,None,
白萝卜,1,AvatarExp,SkillBook,None,None,None,
金鱼草,1,AvatarExp,SkillBook,None,None,None,
薄荷,1,AvatarExp,SkillBook,None,None,None,
小麦,1,AvatarExp,SkillBook,None,None,None,
卷心菜,1,AvatarExp,SkillBook,None,None,None,
天原银莲,1,AvatarExp,SkillBook,None,None,None,
松果,1,AvatarExp,SkillBook,None,None,None,
莲蓬,1,AvatarExp,SkillBook,None,None,None,
马尾,1,AvatarExp,SkillBook,None,None,None,
树莓,1,AvatarExp,SkillBook,None,None,None,
冰雾花花朵,1,AvatarExp,SkillBook,None,None,None,
烈焰花花蕊,1,AvatarExp,SkillBook,None,None,None,
电气水晶,1,WeaponExp,AvatarPromote,None,None,None,
兽肉,1,Scoin,WeaponPromote,None,None,None,
鸟蛋,1,Scoin,WeaponPromote,None,None,None,
松茸,1,AvatarExp,SkillBook,None,None,None,
禽肉,1,Scoin,WeaponPromote,None,None,None,
蝴蝶翅膀,1,Scoin,WeaponPromote,None,None,None,
螃蟹,1,Scoin,WeaponPromote,None,None,None,
番茄,1,AvatarExp,SkillBook,None,None,None,
土豆,1,AvatarExp,SkillBook,None,None,None,
青蛙,1,Scoin,WeaponPromote,None,None,None,
发光髓,1,Scoin,WeaponPromote,None,None,None,
蜥蜴尾巴,1,Scoin,WeaponPromote,None,None,None,
鱼肉,1,Scoin,WeaponPromote,None,None,None,
晶核,1,WeaponExp,AvatarPromote,None,None,None,
鳅鳅宝玉,1,WeaponExp,AvatarPromote,None,None,None,
竹笋,1,AvatarExp,SkillBook,None,None,None,
「冷鲜肉」,1,Scoin,WeaponPromote,None,None,None,
钩钩果,1,AvatarExp,SkillBook,None,None,None,
落落莓,1,AvatarExp,SkillBook,None,None,None,
塞西莉亚花,1,AvatarExp,SkillBook,None,None,None,
风车菊,1,AvatarExp,SkillBook,None,None,None,
慕风蘑菇,1,AvatarExp,SkillBook,None,None,None,
小灯草,1,AvatarExp,SkillBook,None,None,None,
嘟嘟莲,1,AvatarExp,SkillBook,None,None,None,
蒲公英籽,1,AvatarExp,SkillBook,None,None,None,
绝云椒椒,1,AvatarExp,SkillBook,None,None,None,
夜泊石,1,WeaponExp,AvatarPromote,None,None,None,
霓裳花,1,AvatarExp,SkillBook,None,None,None,
琉璃百合,1,AvatarExp,SkillBook,None,None,None,
清心,1,AvatarExp,SkillBook,None,None,None,
星螺,1,Scoin,WeaponPromote,None,None,None,
琉璃袋,1,AvatarExp,SkillBook,None,None,None,
石珀,1,WeaponExp,AvatarPromote,None,None,None,
铁块,1,WeaponExp,AvatarPromote,None,None,None,
白铁块,1,WeaponExp,AvatarPromote,None,None,None,
水晶块,1,WeaponExp,AvatarPromote,None,None,None,
魔晶块,1,WeaponExp,AvatarPromote,None,None,None,
星银矿石,1,WeaponExp,AvatarPromote,None,None,None,
紫晶块,1,WeaponExp,AvatarPromote,None,None,None,
鬼兜虫,1,Scoin,WeaponPromote,None,None,None,
绯樱绣球,1,AvatarExp,SkillBook,None,None,None,
晶化骨髓,1,WeaponExp,AvatarPromote,None,None,None,
血斛,1,AvatarExp,SkillBook,None,None,None,
鸣草,1,AvatarExp,SkillBook,None,None,None,
海灵芝,1,AvatarExp,SkillBook,None,None,None,
珊瑚真珠,1,WeaponExp,AvatarPromote,None,None,None,
天云草实,1,AvatarExp,SkillBook,None,None,None,
幽灯蕈,1,AvatarExp,SkillBook,None,None,None,
海草,1,AvatarExp,SkillBook,None,None,None,
堇瓜,1,AvatarExp,SkillBook,None,None,None,
星蕈,1,AvatarExp,SkillBook,None,None,None,
树王圣体菇,1,AvatarExp,SkillBook,None,None,None,
帕蒂沙兰,1,AvatarExp,SkillBook,None,None,None,
月莲,1,AvatarExp,SkillBook,None,None,None,
香辛果,1,AvatarExp,SkillBook,None,None,None,
劫波莲,1,AvatarExp,SkillBook,None,None,None,
墩墩桃,1,AvatarExp,SkillBook,None,None,None,
须弥蔷薇,1,AvatarExp,SkillBook,None,None,None,
赤念果,1,AvatarExp,SkillBook,None,None,None,
枣椰,1,AvatarExp,SkillBook,None,None,None,
圣金虫,1,Scoin,WeaponPromote,None,None,None,
活化的星蕈,1,AvatarExp,SkillBook,None,None,None,
枯焦的星蕈,1,AvatarExp,SkillBook,None,None,None,
毗波耶,1,AvatarExp,SkillBook,None,None,None,
史莱姆凝液,1,Scoin,WeaponPromote,None,None,None,
史莱姆清,2,Scoin,WeaponPromote,None,None,None,
史莱姆原浆,4,Scoin,WeaponPromote,None,None,None,
破损的面具,1,Scoin,WeaponPromote,None,None,None,
污秽的面具,2,Scoin,WeaponPromote,None,None,None,
不祥的面具,4,Scoin,WeaponPromote,None,None,None,
导能绘卷,1,AvatarExp,SkillBook,None,None,None,
封魔绘卷,2,AvatarExp,SkillBook,None,None,None,
禁咒绘卷,4,AvatarExp,SkillBook,None,None,None,
牢固的箭簇,1,WeaponExp,AvatarPromote,None,None,None,
锐利的箭簇,2,WeaponExp,AvatarPromote,None,None,None,
历战的箭簇,4,WeaponExp,AvatarPromote,None,None,None,
沉重号角,1,Scoin,WeaponPromote,None,None,None,
黑铜号角,2,Scoin,WeaponPromote,None,None,None,
黑晶号角,4,Scoin,WeaponPromote,None,None,None,
地脉的旧枝,1,AvatarExp,SkillBook,None,None,None,
地脉的枯叶,2,AvatarExp,SkillBook,None,None,None,
地脉的新芽,4,AvatarExp,SkillBook,None,None,None,
混沌装置,1,Scoin,WeaponPromote,None,None,None,
混沌回路,2,Scoin,WeaponPromote,None,None,None,
混沌炉心,4,Scoin,WeaponPromote,None,None,None,
雾虚花粉,1,AvatarExp,SkillBook,None,None,None,
雾虚草囊,2,AvatarExp,SkillBook,None,None,None,
雾虚灯芯,4,AvatarExp,SkillBook,None,None,None,
猎兵祭刀,1,WeaponExp,AvatarPromote,None,None,None,
特工祭刀,2,WeaponExp,AvatarPromote,None,None,None,
督察长祭刀,4,WeaponExp,AvatarPromote,None,None,None,
新兵的徽记,1,Scoin,WeaponPromote,None,None,None,
士官的徽记,2,Scoin,WeaponPromote,None,None,None,
尉官的徽记,4,Scoin,WeaponPromote,None,None,None,
寻宝鸦印,1,Scoin,WeaponPromote,None,None,None,
藏银鸦印,2,Scoin,WeaponPromote,None,None,None,
攫金鸦印,4,Scoin,WeaponPromote,None,None,None,
骗骗花蜜,1,AvatarExp,SkillBook,None,None,None,
微光花蜜,2,AvatarExp,SkillBook,None,None,None,
原素花蜜,4,AvatarExp,SkillBook,None,None,None,
脆弱的骨片,1,Scoin,WeaponPromote,None,None,None,
结实的骨片,2,Scoin,WeaponPromote,None,None,None,
石化的骨片,4,Scoin,WeaponPromote,None,None,None,
破旧的刀镡,1,Scoin,WeaponPromote,None,None,None,
影打刀镡,2,Scoin,WeaponPromote,None,None,None,
名刀镡,4,Scoin,WeaponPromote,None,None,None,
混沌机关,1,Scoin,WeaponPromote,None,None,None,
混沌枢纽,2,Scoin,WeaponPromote,None,None,None,
混沌真眼,4,Scoin,WeaponPromote,None,None,None,
黯淡棱镜,1,Scoin,WeaponPromote,None,None,None,
水晶棱镜,2,Scoin,WeaponPromote,None,None,None,
偏光棱镜,4,Scoin,WeaponPromote,None,None,None,
浮游干核,1,Scoin,WeaponPromote,None,None,None,
浮游幽核,2,Scoin,WeaponPromote,None,None,None,
浮游晶化核,4,Scoin,WeaponPromote,None,None,None,
隐兽指爪,1,Scoin,WeaponPromote,None,None,None,
隐兽利爪,2,Scoin,WeaponPromote,None,None,None,
隐兽鬼爪,4,Scoin,WeaponPromote,None,None,None,
蕈兽孢子,1,AvatarExp,SkillBook,None,None,None,
荧光孢粉,2,AvatarExp,SkillBook,None,None,None,
孢囊晶尘,4,AvatarExp,SkillBook,None,None,None,
失活菌核,1,AvatarExp,SkillBook,None,None,None,
休眠菌核,2,AvatarExp,SkillBook,None,None,None,
茁壮菌核,4,AvatarExp,SkillBook,None,None,None,
褪色红绸,1,Scoin,WeaponPromote,None,None,None,
镶边红绸,2,Scoin,WeaponPromote,None,None,None,
织金红绸,4,Scoin,WeaponPromote,None,None,None,
混沌容器,1,Scoin,WeaponPromote,None,None,None,
混沌模块,2,Scoin,WeaponPromote,None,None,None,
混沌锚栓,4,Scoin,WeaponPromote,None,None,None,
破缺棱晶,1,Scoin,WeaponPromote,None,None,None,
混浊棱晶,2,Scoin,WeaponPromote,None,None,None,
辉光棱晶,4,Scoin,WeaponPromote,None,None,None,
晦暗刻像,1,Scoin,WeaponPromote,None,None,None,
夤夜刻像,2,Scoin,WeaponPromote,None,None,None,
幽邃刻像,4,Scoin,WeaponPromote,None,None,None,
